,Criteria_Name,Type,Enrollment,Is feasible to apply in Flatiron?,IE Rules in EDM
0,EGFR_ALK_therapy,Inclusion,Have confirmation that EGFR or ALK-directed therapy is not indicated (documentation of absence of tumor activating EGFR mutations AND absence of ALK gene rearrangements OR presence of a K-Ras mutation).,Yes,"EGFR_ALK_therapy
#exclusion
(lineoftherapy['linenumber'] == 1) AND (lineoftherapy['ismaintenancetherapy'] == False)

(enhanced_advnsclc_orals['startdate'] < lineoftherapy['startdate'])

(enhanced_advnsclc_orals[‘drugname’] == 'afatinib’) OR (enhanced_advnsclc_orals[‘drugname’] == 'erlotinib') OR (enhanced_advnsclc_orals[‘drugname’] == 'crizotinib') OR (enhanced_advnsclc_orals[‘drugname’] == 'ceritinib')"
1,EGFR_ALK_positive,Inclusion,Have confirmation that EGFR or ALK-directed therapy is not indicated (documentation of absence of tumor activating EGFR mutations AND absence of ALK gene rearrangements OR presence of a K-Ras mutation).,Yes,"EGFR_ALK_positive
#exclusion
(lineoftherapy['linenumber'] == 1) AND (lineoftherapy['ismaintenancetherapy'] == False)

(enhanced_advnsclcbiomarkers['specimencollecteddate'] < lineoftherapy['startdate'])

((enhanced_advnsclcbiomarkers['biomarkername'] == 'EGFR') AND (enhanced_advnsclcbiomarkers['biomarkerstatus'] == 'Mutation positive')) OR ((enhanced_advnsclcbiomarkers['biomarkername'] == 'ALK') AND (enhanced_advnsclcbiomarkers['biomarkerstatus'] == 'Rearrangement present')) OR ((enhanced_advnsclcbiomarkers['biomarkername'] == 'KRAS') AND (enhanced_advnsclcbiomarkers['biomarkerstatus'] == 'Mutation positive'))
"
2,Age,Inclusion,Be ≥18 years of age on day of signing informed consent.,Yes,"Age
#inclusion
(lineoftherapy['linenumber']==1) AND (lineoftherapy['ismaintenancetherapy']==False)

(lineoftherapy['startdate'] >= demographics['birthyear'] + @YEARS(18))"
3,Histology_NonSquamous,Inclusion,Have a histologically-confirmed or cytologically confirmed diagnosis of stage IV (M1a or M1b- AJCC 7th edition) non-squamous NSCLC.,Yes,"Histology_NonSquamous
#inclusion
(enhanced_advancednsclc['histology'] == 'Non-squamous cell carcinoma')"
4,Staging,Inclusion,Have a histologically-confirmed or cytologically confirmed diagnosis of stage IV (M1a or M1b- AJCC 7th edition) non-squamous NSCLC.,Yes,"Staging
#Inclusion
(lineoftherapy['linenumber']==1) AND (lineoftherapy['ismaintenancetherapy']==False)

enhanced_advancednsclc[‘advanceddiagnosisdate’] < lineoftherapy['startdate']"
5,neoadjuvant_treatment,Inclusion,Have not received prior systemic treatment for their advanced/metastatic NSCLC. Subjects who received adjuvant or neoadjuvant therapy are eligible if the adjuvant/neoadjuvant therapy was completed at least 12 months prior to the development of metastatic disease.,Yes,"neoadjuvant_treatment

#exclusion

(medicationadministration[‘drugcategory’] == 'antineoplastic')

(medicationadministration[‘administereddate’] < (enhanced_advancednsclc[‘advanceddiagnosisdate’] - @DAYS(14))) AND  (medicationadministration[‘administereddate’] > (enhanced_advancednsclc[‘advanceddiagnosisdate’] - @DAYS(365)))"
6,ECOG,Inclusion,Have a performance status of 0 or 1 on the Eastern Cooperative Oncology Group (ECOG) Performance Status.,Yes,"ECOG
#Inclusion
(lineoftherapy['linenumber']==1) AND (lineoftherapy['ismaintenancetherapy']==False)

(ecog[‘ecogdate’] >= lineoftherapy['startdate'] - @DAYS(30) ) AND (ecog[‘ecogdate’] <= lineoftherapy['startdate'] + @DAYS(7) )

MIN(ABS(ecog[‘ecogdate’] - lineoftherapy['startdate'] ))

(ecog['ecogvalue'] == 0) OR (ecog['ecogvalue'] == 1)"
7,Neutrophils,Inclusion,"Absolute neutrophil count (ANC) ≥1,500 /mcL = 1.5 / (10^-9 L)",Yes,"Neutrophils
#inclusion

(lineoftherapy['linenumber']==1) AND (lineoftherapy['ismaintenancetherapy']==False)

(lab['labcomponent'] == 'Neutrophil count (absolute)') OR (lab['labcomponent'] == 'Granulocytes #') 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] - lineoftherapy['startdate']))

((lab['labcomponent'] == 'Neutrophil count (absolute)') AND (lab['testresultcleaned'] >= 1.5)) OR ((lab['labcomponent'] == 'Granulocytes #') AND (lab['testresultcleaned'] >= 0.0015)) "
8,Platelets,Inclusion,"Platelets ≥100,000 / mcL = 100 / (10^-9 L)",Yes,"Platelets
#inclusion

(lineoftherapy['linenumber']==1) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Platelet count' 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] - lineoftherapy['startdate']))

lab['testresultcleaned'] >= 100"
9,Bilirubin,Inclusion,Serum total bilirubin ≤1.5xULN OR Direct bilirubin ≤ULN for subjects with total bilirubin levels >1.5xULN,Yes,"Bilirubin
#inclusion

(lineoftherapy['linenumber']==1) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Bilirubin (Total), serum' 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] -lineoftherapy['startdate']))

lab['testresultcleaned'] <= 1.5 * lab['maxnormcleaned']"
