,Criteria_Name,Type,Enrollment,Is feasible to apply in Flatiron?,IE Rules in EDM
0,Age,Inclusion,Men and women ≥ 18 years of age,Yes,"Age
#inclusion
(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

(lineoftherapy['startdate'] >= demographics['birthyear'] + @YEARS(18))"
1,Histology_Squamous,Inclusion,"Subjects with histologically- or cytologically-documented squamous cell NSCLC who present with Stage IIIB/ Stage IV disease (according to version 7 of the International Association for the Study of Lung Cancer Staging Manual in Thoracic Oncology), or recurrent disease following radiation therapy or surgical resection.",Yes,"Histology_Squamous
#inclusion
(enhanced_advancednsclc['histology'] == 'Squamous cell carcinoma')"
2,Staging,Inclusion,"Subjects with histologically- or cytologically-documented squamous cell NSCLC who present with Stage IIIB/ Stage IV disease (according to version 7 of the International Association for the Study of Lung Cancer Staging Manual in Thoracic Oncology), or recurrent disease following radiation therapy or surgical resection.",Yes,"Staging
#Inclusion
(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

enhanced_advancednsclc[‘advanceddiagnosisdate’] < lineoftherapy['startdate']"
3,FirstProgression,Inclusion,Subjects must have experienced disease recurrence or progression during or after one prior platinum-containing doublet chemotherapy regimen for advanced or metastatic disease.,Yes,"FirstProgression
#inclusion
(lineoftherapy['linenumber'] == 1) AND (lineoftherapy['ismaintenancetherapy'] == False)

(lineoftherapy['linename'] == 'Carboplatin,Paclitaxel') OR (lineoftherapy['linename'] == 'Carboplatin,Pemetrexed')

enhanced_advnsclcprogression['progressiondate'] >= lineoftherapy['startdate']"
4,maintenance,Inclusion,"Subjects who received erlotinib as maintenance therapy (non-progressors with platinum-based doublet chemotherapy) and progressed are eligible. However, subjects who received a tyrosine kinase inhibitor after failure of a prior platinum-based therapy are excluded.",Yes,"maintenance
#inclusion
(lineoftherapy['linenumber'] == 1) AND (lineoftherapy['ismaintenancetherapy'] == True)

(lineoftherapy['linename'] == 'Erlotinib')

enhanced_advnsclcprogression['progressiondate'] >= lineoftherapy['startdate']"
5,ECOG,Inclusion,Eastern Cooperative Oncology Arm (ECOG) performance status of ≤ 1,Yes,"ECOG
#Inclusion
(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

(ecog[‘ecogdate’] >= lineoftherapy['startdate'] - @DAYS(30) ) AND (ecog[‘ecogdate’] <= lineoftherapy['startdate'] + @DAYS(7) )

MIN(ABS(ecog[‘ecogdate’] - enhanced_advancednsclc[‘advanceddiagnosisdate’] ))

(ecog['ecogvalue'] == 0) OR (ecog['ecogvalue'] == 1)"
6,WBC,Inclusion,WBCs ≥ 2000/μL,Yes,"WBC
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'White Blood Cell Count'

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] - lineoftherapy['startdate']))

(lab['testresultcleaned'] >= 2)"
7,Neutrophils,Inclusion,Neutrophils ≥ 1500/μL,Yes,"Neutrophils
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

(lab['labcomponent'] == 'Neutrophil count (absolute)') OR (lab['labcomponent'] == 'Granulocytes #') 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] - lineoftherapy['startdate']))

(lab['testresultcleaned'] >= 1.5)"
8,Platelets,Inclusion,Platelets ≥ 100 x 103/μL,Yes,"Platelets
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Platelet count' 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] - lineoftherapy['startdate']))

lab['testresultcleaned'] >= 100"
9,Hemoglobin,Inclusion,Hemoglobin ≥ 9.0 g/dL,Yes,"Hemoglobin
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Hemoglobin, whole blood'

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] -lineoftherapy['startdate']))

lab['testresultcleaned'] >= 9"
